playerID,year,stint,tmID,points,dRebounds,dq,pos,height,weight,college,birthYear,award,confID,rank,playoff,firstRound,semis,finals,won,lost,homeW,homeL,awayW,awayL,confW,confL,min,attend,W,L,PER,TS%,eFG%,stocks,dar
abrossv01w,2,0,MIN,343,131,2,F,74.0,169,1,1980,[],WE,6,0,001,001,001,12,20,6,10,6,10,9,12,6475,120607,0.0,0.0,13.22698499674013,33.48985275165735,28.89711861312859,34.9643435980551,0.26595744680851063
abrossv01w,3,0,MIN,314,101,0,F,74.0,169,1,1980,[],WE,8,0,001,001,001,10,22,7,9,3,13,6,15,6475,139874,0.0,0.0,10.371122294354107,27.904032999905326,26.630746979053402,33.92220421393841,0.24596273291925466
abrossv01w,4,0,MIN,318,97,0,F,74.0,169,1,1980,[],WE,4,1,010,001,001,18,16,11,6,7,10,14,10,6850,120253,1.0,2.0,11.864570561328927,31.101006450776698,28.037191845090852,35.29983792544571,0.2474747474747475
abrossv01w,5,0,MIN,146,57,0,F,74.0,169,1,1980,[],WE,3,1,010,001,001,18,16,11,6,7,10,12,10,6850,125097,0.0,2.0,5.445753722281069,17.16317011477126,15.891468348821755,11.980551053484604,0.22943722943722944
abrossv01w,6,0,MIN,304,78,0,F,74.0,169,1,1980,[],WE,6,0,001,001,001,14,20,11,6,3,14,9,13,6850,113447,0.0,0.0,11.388235554114837,31.062010191571154,28.631262772179554,34.00162074554295,0.2072072072072072
abrossv01w,7,0,MIN,263,62,0,F,74.0,169,1,1980,[],WE,7,0,001,001,001,10,24,8,9,2,15,6,14,6825,109522,0.0,0.0,8.958925204018636,28.75814450612691,27.022737513197978,20.53484602917342,0.19475138121546962
abrossv01w,8,0,MIN,345,97,0,F,74.0,169,1,1980,[],WE,6,0,001,001,001,10,24,7,10,3,14,8,14,6875,121019,0.0,0.0,13.856045042762284,37.183637036459714,35.41804901395581,32.79092382495948,0.23487544483985764
abrossv01w,9,0,CON,34,17,0,F,74.0,169,1,1980,[],EA,2,1,010,001,001,21,13,13,4,8,9,13,7,6850,129951,1.0,2.0,1.0374470595385503,3.570901335544583,2.8903295515937324,0.6936790923824959,0.2616822429906542
adamsjo01w,4,0,MIN,33,13,0,C,75.0,180,1,1981,[],WE,4,1,010,001,001,18,16,11,6,7,10,14,10,6850,120253,1.0,2.0,1.4326501036370607,3.788755814687743,3.6540444968321792,0.3889789303079417,0.2916666666666667
aguilel01w,3,0,UTA,43,11,0,G,67.0,165,1,1976,[],WE,3,1,100,010,001,20,12,12,4,8,8,12,9,6450,118720,2.0,3.0,1.3636526751168567,6.8088831949171125,6.751878591424783,0.5713128038897893,0.11347517730496454
