playerID,year,stint,tmID,GP_player,GS,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,pos,height,weight,college,birthDate,award,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP_team,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,W,L,PER,TS%,eFG%,stocks,dar
abrossv01w,2,0,MIN,26,23,846,343,43,131,53,42,9,85,70,293,114,132,96,76,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,74.0,169,1,1980-07-09,[],WE,6,0,001,001,001,671,1810,559,727,176,552,308,693,1001,437,695,210,507,127,2077,752,1927,499,624,153,472,328,688,1016,511,719,259,470,126,2156,12,20,32,6,10,6,10,9,12,6475,120607,Target Center,0.0,0.0,13.22698499674013,33.48985275165735,28.89711861312859,34.9643435980551,0.26595744680851063
abrossv01w,3,0,MIN,27,27,805,314,45,101,60,42,10,92,73,316,119,116,56,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,74.0,169,1,1980-07-09,[],WE,8,0,001,001,001,727,1775,383,578,166,500,309,650,959,466,617,226,529,102,2003,747,1807,469,613,141,389,302,612,914,495,618,273,465,117,2104,10,22,32,7,9,3,13,6,15,6475,139874,Target Center,0.0,0.0,10.371122294354107,27.904032999905326,26.630746979053402,33.92220421393841,0.24596273291925466
abrossv01w,4,0,MIN,30,25,792,318,44,97,82,44,11,90,79,285,112,98,69,82,25,0,3,3,69,23,1,4,4,4,1,8,8,22,6,8,8,7,3,0,F,74.0,169,1,1980-07-09,[],WE,4,1,010,001,001,875,1978,450,624,180,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,18,16,34,11,6,7,10,14,10,6850,120253,Target Center,1.0,2.0,11.864570561328927,31.101006450776698,28.037191845090852,35.29983792544571,0.2474747474747475
abrossv01w,5,0,MIN,22,11,462,146,17,57,45,30,2,43,42,139,49,46,28,53,20,0,2,2,67,20,3,6,3,1,2,3,7,23,8,4,2,8,2,0,F,74.0,169,1,1980-07-09,[],WE,3,1,010,001,001,767,1900,454,640,177,542,332,724,1056,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,1036,508,676,333,502,133,2190,18,16,34,11,6,7,10,12,10,6850,125097,Target Center,0.0,2.0,5.445753722281069,17.16317011477126,15.891468348821755,11.980551053484604,0.22943722943722944
abrossv01w,6,0,MIN,31,31,777,304,29,78,60,48,6,80,86,276,109,73,53,82,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,74.0,169,1,1980-07-09,[],WE,6,0,001,001,001,801,1946,437,601,172,492,310,715,1025,531,624,258,536,127,2211,862,2019,435,592,129,376,344,711,1055,537,665,275,487,144,2288,14,20,34,11,6,3,14,9,13,6850,113447,Target Center,0.0,0.0,11.388235554114837,31.062010191571154,28.631262772179554,34.00162074554295,0.2072072072072072
abrossv01w,7,0,MIN,34,2,724,263,44,62,54,34,1,61,66,241,99,62,41,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,74.0,169,1,1980-07-09,[],WE,7,0,001,001,001,945,2211,485,681,148,419,340,804,1144,491,654,193,530,113,2523,1004,2314,548,719,179,542,372,832,1204,625,633,308,438,124,2735,10,24,34,8,9,2,15,6,14,6825,109522,Target Center,0.0,0.0,8.958925204018636,28.75814450612691,27.022737513197978,20.53484602917342,0.19475138121546962
abrossv01w,8,0,MIN,34,29,843,345,53,97,85,44,4,68,86,298,132,43,36,101,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,74.0,169,1,1980-07-09,[],WE,6,0,001,001,001,971,2355,531,674,163,496,397,785,1182,596,713,238,561,95,2636,988,2195,614,785,162,461,318,800,1118,565,645,279,529,147,2752,10,24,34,7,10,3,14,8,14,6875,121019,Target Center,0.0,0.0,13.856045042762284,37.183637036459714,35.41804901395581,32.79092382495948,0.23487544483985764
abrossv01w,9,0,CON,6,0,107,34,3,17,12,8,0,11,13,36,11,12,10,12,2,0,3,2,63,24,3,8,4,4,0,3,8,24,11,4,2,5,0,0,F,74.0,169,1,1980-07-09,[],EA,2,1,010,001,001,965,2286,539,723,221,669,370,869,1239,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,1200,554,703,252,499,104,2541,21,13,34,13,4,8,9,13,7,6850,129951,Mohegan Sun Arena,1.0,2.0,1.0374470595385503,3.570901335544583,2.8903295515937324,0.6936790923824959,0.2616822429906542
adamsjo01w,4,0,MIN,10,0,96,33,10,13,4,2,3,10,10,33,13,2,2,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,75.0,180,1,1981-05-24,[],WE,4,1,010,001,001,875,1978,450,624,180,524,361,718,1079,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,989,528,666,271,471,126,2370,18,16,34,11,6,7,10,14,10,6850,120253,Target Center,1.0,2.0,1.4326501036370607,3.788755814687743,3.6540444968321792,0.3889789303079417,0.2916666666666667
aguilel01w,3,0,UTA,28,0,141,43,0,11,16,3,2,11,5,33,14,7,4,21,11,0,2,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,G,67.0,165,1,1976-10-15,[],WE,3,1,100,010,001,843,1911,643,844,89,247,347,721,1068,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,1006,489,724,260,444,149,2344,20,12,32,12,4,8,8,12,9,6450,118720,EnergySolutions Arena,2.0,3.0,1.3636526751168567,6.8088831949171125,6.751878591424783,0.5713128038897893,0.11347517730496454
ajavoma01w,9,0,HOU,34,2,604,273,33,27,59,31,6,55,85,284,94,91,72,68,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G,68.0,160,1,1986-05-07,[],WE,5,0,001,001,001,923,2213,563,736,152,481,376,803,1179,556,728,295,599,120,2561,903,2186,582,781,218,580,349,743,1092,542,744,313,555,165,2606,17,17,34,13,4,4,13,10,10,6925,111951,Toyota Center,0.0,0.0,7.346149393000885,20.618440166960198,17.32086196270002,18.110210696920582,0.1605960264900662
