year,round,series,tmIDWinner,tmIDLoser,W,L
1,FR,A,CLE,ORL,2,1
1,FR,B,NYL,WAS,2,0
1,FR,C,LAS,PHO,2,0
1,FR,D,HOU,SAC,2,0
1,CF,E,HOU,LAS,2,0
1,CF,F,NYL,CLE,2,1
1,F,G,HOU,NYL,2,0
2,FR,A,CHA,CLE,2,1
2,FR,B,NYL,MIA,2,1
2,FR,C,LAS,HOU,2,0
2,FR,D,SAC,UTA,2,0
2,CF,E,CHA,NYL,2,1
2,CF,F,LAS,SAC,2,1
2,F,G,LAS,CHA,2,0
3,FR,A,NYL,IND,2,1
3,FR,B,WAS,CHA,2,0
3,FR,C,LAS,SEA,2,0
3,FR,D,UTA,HOU,2,1
3,CF,E,NYL,WAS,2,1
3,CF,F,LAS,UTA,2,0
3,F,G,LAS,NYL,2,0
4,FR,A,DET,CLE,2,1
4,FR,B,CON,CHA,2,0
4,FR,C,LAS,MIN,2,1
4,FR,D,SAC,HOU,2,1
4,CF,E,DET,CON,2,0
4,CF,F,LAS,SAC,2,1
4,F,G,DET,LAS,2,1
5,FR,A,CON,WAS,2,1
5,FR,B,NYL,DET,2,1
5,FR,C,SEA,MIN,2,0
5,FR,D,SAC,LAS,2,1
5,CF,E,CON,NYL,2,0
5,CF,F,SEA,SAC,2,1
5,F,G,SEA,CON,2,1
6,FR,A,CON,DET,2,0
6,FR,B,IND,NYL,2,0
6,FR,C,HOU,SEA,2,1
6,FR,D,SAC,LAS,2,0
6,CF,E,CON,IND,2,0
6,CF,F,SAC,HOU,2,0
6,F,G,SAC,CON,3,1
7,FR,A,DET,IND,2,0
7,FR,B,CON,WAS,2,0
7,FR,C,LAS,SEA,2,1
7,FR,D,SAC,HOU,2,0
7,CF,E,DET,CON,2,1
7,CF,F,SAC,LAS,2,0
7,F,G,DET,SAC,3,2
8,FR,A,DET,NYL,2,1
8,FR,B,IND,CON,2,1
8,FR,C,PHO,SEA,2,0
8,FR,D,SAS,SAC,2,1
8,CF,E,DET,IND,2,1
8,CF,F,PHO,SAS,2,0
8,F,G,PHO,DET,3,2
9,FR,A,SAS,SAC,2,1
9,FR,B,LAS,SEA,2,1
9,FR,C,DET,IND,2,1
9,FR,D,NYL,CON,2,1
9,CF,E,SAS,LAS,2,1
9,CF,F,DET,NYL,2,1
9,F,G,DET,SAS,3,0
10,FR,A,PHO,SAS,2,1
10,FR,B,LAS,SEA,2,1
10,FR,C,IND,WAS,2,0
10,FR,D,DET,ATL,2,0
10,CF,E,PHO,LAS,2,1
10,CF,F,IND,DET,2,1
10,F,G,PHO,IND,3,2
